line,customers,load,cost
1459,1.0,0.760008,0.0
1460,,,
1461,1.0,2.74003,0.0
1462,,,
1463,,,
1464,1.0,18.3202,0.0
1465,,,
1466,,,
1467,,,
1468,,,
1469,,,
1470,,,
1471,,,
1472,1.0,3.12003,0.0
1473,1.0,52.0405,0.0
1474,1.0,218.562,0.0
1475,1.0,28.5803,0.0
1476,,,
1477,,,
1478,1.0,2.74003,0.0
1479,,,
1480,,,
1481,,,
1482,,,
1483,,,
1484,,,
1485,1.0,2.74003,0.0
1486,1.0,24.7602,0.0
1487,1.0,8.13008,0.0
1488,,,
1489,1.0,30.2003,0.0
1490,,,
1491,1.0,2.74003,0.0
1492,,,
1493,,,
1494,1.0,0.760008,0.0
1495,,,
1496,,,
1497,,,
1498,1.0,2.74003,0.0
1499,1.0,28.5803,0.0
1500,,,
1501,1.0,2.74003,0.0
1502,1.0,29.2803,0.0
1503,1.0,8.13008,0.0
1504,1.0,2.74003,0.0
1505,,,
1506,,,
1507,,,
1508,,,
1509,1.0,12.2401,0.0
1510,,,
1511,1.0,120.361,0.0
1512,1.0,119.561,0.0
1513,,,
1514,1.0,1.66002,0.0
1515,,,
1516,,,
1517,1.0,58.5606,0.0
1518,,,
1519,1.0,2.74003,0.0
1520,2.0,1.520016,0.0
1521,,,
1522,,,
1523,,,
1524,1.0,6.36006,0.0
1525,,,
1526,,,
1527,,,
1528,,,
1529,,,
1530,,,
1531,,,
1532,,,
1533,,,
1534,,,
1535,1.0,28.5803,0.0
1536,,,
1537,,,
1538,1.0,92.5209,0.0
1539,,,
1540,,,
1541,,,
1542,,,
1543,,,
1544,1.0,27.6503,0.0
1545,,,
1546,,,
1547,,,
